"","state","num_drivers","perc_speeding","perc_alcohol","perc_not_distracted","perc_no_previous","insurance_premiums","losses","average.temp","average.precip"
"1","Alabama",18.8,39,30,96,80,784.55,145.08,17.645,1429.72
"2","Alaska",18.1,41,25,90,94,1053.48,133.93,2.77778,420.878
"3","Arizona",18.6,35,28,84,96,899.47,110.35,16.8886,234.402
"4","Arkansas",22.4,18,26,94,95,827.34,142.39,16.0966666666667,1280.60333333333
"5","California",12,35,28,91,89,878.41,165.63,15.500787037037,573.891203703704
"6","Colorado",13.6,37,28,79,95,835.5,139.91,8.78958333333333,323.919791666667
"7","Connecticut",10.8,46,36,87,82,1068.73,167.02,10.365,1320.71875
"8","Delaware",16.2,38,30,87,99,1137.87,151.48,13.5895,1210.875
"9","District of Columbia",5.9,34,27,100,100,1273.89,136.05,13.16667,1035.812
"10","Florida",17.9,21,29,92,94,1160.13,144.18,22.0679545454545,1332.0625
"11","Georgia",15.6,19,25,95,93,913.15,142.8,18.061847826087,1129.76304347826
"12","Hawaii",17.5,54,41,82,87,861.18,120.92,25.33333,435.102
"13","Idaho",15.3,36,29,85,98,641.96,82.75,7.99413793103448,466.979310344828
"14","Illinois",12.8,36,34,94,96,803.11,139.15,11.7107638888889,1063.1625
"15","Indiana",14.5,25,29,95,95,710.46,108.92,11.8442361111111,1117.98194444444
"16","Iowa",15.7,17,25,97,87,649.06,114.47,9.1245652173913,868.54347826087
"17","Kansas",17.8,27,24,77,85,780.45,133.8,13.4502419354839,689.63064516129
"18","Kentucky",21.4,19,23,78,76,872.51,137.13,13.5559615384615,1229.43653846154
"19","Louisiana",20.5,35,33,73,98,1281.55,194.78,19.7547222222222,1374.33194444444
"20","Maine",15.1,38,30,87,84,661.88,96.57,7.15875,1286.72916666667
"21","Maryland",12.5,34,32,71,99,1048.78,192.7,13.55125,1179.5359375
"22","Massachusetts",8.2,23,35,87,80,1011.14,135.63,10.7635416666667,1260.27291666667
"23","Michigan",14.1,24,28,95,77,1110.61,152.26,8.0284375,864.992708333333
"24","Minnesota",9.6,23,29,88,88,777.18,133.35,6.2630303030303,705.843181818182
"25","Mississippi",17.6,15,31,10,100,896.07,155.77,17.95765625,1381.625
"26","Missouri",16.1,43,34,92,84,790.32,144.45,13.2868269230769,1093.24134615385
"27","Montana",21.4,39,44,84,85,816.21,85.15,6.16477272727273,383.239772727273
"28","Nebraska",14.9,13,35,93,90,732.28,114.82,10.1584239130435,610.538586956522
"29","Nevada",14.7,37,32,95,99,1029.87,138.71,11.3876923076923,179.134615384615
"30","New Hampshire",11.6,35,30,87,83,746.54,120.21,7.6835,1132.33
"31","New Jersey",11.2,16,28,86,78,1301.52,159.85,12.3458333333333,1299.15416666667
"32","New Mexico",18.4,19,27,67,98,869.85,120.75,13.0914655172414,284.093965517241
"33","New York",12.3,32,29,88,80,1234.31,150.01,9.0115350877193,1107.42456140351
"34","North Carolina",16.8,39,31,94,81,708.24,127.82,15.2675,1249.83879310345
"35","North Dakota",23.9,23,42,99,86,688.75,109.72,5.25739583333333,494.805208333333
"36","Ohio",14.1,28,34,99,82,697.73,133.52,11.0011538461538,1021.83846153846
"37","Oklahoma",19.9,32,29,92,94,881.51,178.86,16.0884659090909,720.461363636364
"38","Oregon",12.8,33,26,67,90,804.71,104.61,9.799125,872.6075
"39","Pennsylvania",18.2,50,31,96,88,905.99,153.86,10.67375,1200.69479166667
"40","Rhode Island",11.1,34,38,92,79,1148.99,148.58,11.0033333333333,1252
"41","South Carolina",23.9,38,41,96,81,858.97,116.29,17.3398275862069,1098.29568965517
"42","South Dakota",19.4,31,33,98,86,669.31,96.87,7.7399,554.754
"43","Tennessee",19.5,21,29,82,81,767.91,155.57,14.782,1379.39666666667
"44","Texas",19.4,40,38,91,87,1004.75,156.83,19.5329591836735,614.331632653061
"45","Utah",11.3,43,16,88,96,809.38,109.48,9.745375,321.3875
"46","Vermont",13.6,30,30,96,95,716.2,109.61,7.644375,1092.471875
"47","Virginia",12.7,19,27,87,88,768.95,153.72,13.4631578947368,1129.33157894737
"48","Washington",10.6,42,33,82,86,890.03,111.62,9.30522727272727,962.226704545454
"49","West Virginia",23.8,34,28,97,87,992.61,152.56,12.0363461538462,1209.13846153846
"50","Wisconsin",13.8,36,33,39,84,670.31,106.62,7.7075,836.716304347826
"51","Wyoming",17.4,42,32,81,90,791.14,122.04,6.45698275862069,319.449137931034
